Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",primitive_type,"[361, 44, 1820]",2
"3,6",identifier,"[739, 796, 1128]",1
"3,11",( parameter_declaration ),"[1363, 1458, 1356]",3
"3,12",primitive_type,[624],1
"3,17",identifier,"[739, 720, 1118, 1598]",2
"3,18",),"[1300, 1321, 1598]",2
"3,19",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"5,1",primitive_type,"[225, 43, 44, 1820]",2
"5,5",identifier,"[739, 796, 1128]",1
"5,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"5,10",primitive_type,[624],1
"5,14",),"[739, 720, 1118, 1598]",4
"6,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"7,3",primitive_type,[23],1
"7,8",identifier,"[739, 801, 1139]",1
"7,10",= expression,"[1363, 1455, 1361]",2
"7,12",' character ',[459],0
"7,13",character ',[1618],1
"7,14",',[1562],1
"7,15",;,"[690, 684, 1032, 1592]",1
"11,3",return expression ;,"[248, 244, 31, 25, 310, 220]",5
"11,10",number_literal,[475],2
"11,11",;,"[684, 1070]",1
"12,1",},"[199, 244, 31, 25]",1
"14,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"14,6",identifier,"[739, 796, 1128]",1
"14,11",( parameter_declaration ),"[1363, 1458, 1356]",3
"14,12",primitive_type,[624],1
"14,17",identifier,"[739, 720, 1118, 1598]",2
"14,18",),"[1300, 1321, 1598]",2
"15,1",{ statement },"[1290, 1260, 1511, 1458, 1300, 1356]",5
"16,3",return expression ;,[23],5
"16,10",( expression ),[475],6
"16,11",identifier,[378],1
"16,13",>= expression,"[527, 1031, 1077, 1856]",0
"16,16",' character ',[506],3
"16,17",character ',[1618],1
"16,18",',[1562],1
"16,20",&& expression,"[690, 684, 985, 1031]",6
"16,23",identifier,[544],1
"16,25",<= expression,"[715, 976, 684, 1031]",16
"16,28",' character ',[506],3
"16,29",character ',[1618],1
"16,30",',[1562],1
"16,31",),"[690, 684, 985, 976, 1031]",1
"16,33",? expression : expression,"[664, 837, 1070]",8
"16,35",identifier += expression,[470],0
"16,37",+= expression,"[715, 1045]",5
"16,40",' character ',[559],5
"16,41",character ',[1618],1
"16,42",',[1562],1
"16,44",- expression,"[690, 684, 982, 1045]",8
"16,46",' character ',[533],4
"16,47",character ',[1618],1
"16,48",',[1562],1
"16,50",: expression,"[690, 684, 975, 982, 1045]",4
"16,52",identifier,[507],1
"16,53",;,"[715, 978, 684, 1070]",1
"17,1",},"[199, 244, 25]",1
